[1m[92m    Finished[0m `release` profile [optimized] target(s) in 0.29s
[1m[92m     Running[0m `E:\wt_target\release\thermo_sandbox_multi_demo.exe`
frame,iron_T,water_T_max,steam_kg,P_atm,npc_T,npc_hp,O2_kg,CO2_kg,wood_kg,corrosion,meso_T,macro_T
1,3991.35,313.53,0.0001,1.02,310.15,1.0000,0.1735,0.0000,2.7344,0.0000,-0.00,288.15
2,3975.06,326.92,0.0002,1.03,310.15,1.0000,0.1735,0.0000,2.7344,0.0000,-0.00,288.15
3,3955.76,340.20,0.0003,1.03,310.15,1.0000,0.1735,0.0000,2.7344,0.0000,-0.00,288.15
4,3935.30,353.30,0.0004,1.03,310.15,1.0000,0.1735,0.0000,2.7344,0.0000,-0.00,288.15
5,3914.64,366.23,0.0005,1.03,310.15,1.0000,0.1735,0.0000,2.7344,0.0000,-0.00,288.15
6,3893.96,373.15,0.0374,1.13,310.15,1.0000,0.1735,0.0000,2.7344,0.0000,-0.00,288.15
7,3873.66,375.09,0.1148,1.35,310.15,1.0000,0.1735,0.0000,2.7344,0.0000,-0.00,288.15
8,3853.53,377.20,0.1908,1.57,310.15,1.0000,0.1735,0.0000,2.7344,0.0000,-0.00,288.15
9,3833.59,379.48,0.2652,1.78,310.15,1.0000,0.1735,0.0000,2.7344,0.0000,-0.00,288.15
10,3813.85,381.93,0.3381,1.99,310.15,1.0000,0.1735,0.0000,2.7344,0.0000,-0.00,288.15
11,3794.31,384.56,0.4096,2.20,310.15,1.0000,0.1735,0.0000,2.7344,0.0001,-0.00,288.15
12,3774.98,387.35,0.4796,2.41,310.15,1.0000,0.1735,0.0000,2.7344,0.0001,-0.00,288.15
13,3755.84,390.33,0.5483,2.62,310.15,1.0000,0.1735,0.0000,2.7344,0.0001,-0.00,288.15
14,3736.91,393.47,0.6156,2.82,310.15,1.0000,0.1735,0.0000,2.7344,0.0001,-0.00,288.15
15,3718.19,396.79,0.6815,3.02,310.15,1.0000,0.1735,0.0000,2.7344,0.0001,-0.00,288.15
16,3699.66,400.29,0.7461,3.22,310.15,1.0000,0.1735,0.0000,2.7344,0.0001,-0.00,288.15
17,3681.34,403.97,0.8094,3.43,310.15,1.0000,0.1735,0.0000,2.7344,0.0001,-0.00,288.15
18,3663.22,407.82,0.8715,3.63,310.15,1.0000,0.1735,0.0000,2.7344,0.0001,-0.00,288.15
19,3645.31,411.85,0.9323,3.83,310.15,1.0000,0.1735,0.0000,2.7344,0.0001,-0.00,288.15
20,3627.59,416.06,0.9919,4.02,310.15,1.0000,0.1735,0.0000,2.7344,0.0001,-0.00,288.15
21,3610.07,420.45,1.0503,4.22,310.15,1.0000,0.1735,0.0000,2.7344,0.0001,-0.00,288.15
22,3592.76,425.02,1.1076,4.42,310.15,1.0000,0.1735,0.0000,2.7344,0.0001,-0.00,288.15
23,3575.65,429.76,1.1637,4.62,310.15,1.0000,0.1735,0.0000,2.7344,0.0001,-0.00,288.15
